id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
6773167,7,41.76754,-87.62992,6,1.5,99.0,200.0,180.0,15.0,1,30,1,1125,30,90,6,0
38347037,1420,41.89502,-87.62791,2,1.0,171.0,0.0,250.0,0.0,30,1125,730,1125,0,250,0,0
26978242,2,41.82504,-87.64106,1,1.0,50.0,0.0,35.0,30.0,5,365,5,1125,30,365,12,8
42133038,0,41.93755,-87.78188,8,2.0,102.0,150.0,45.0,15.0,2,7,2,1125,30,90,4,4
34346271,3,41.82883,-87.61926,8,2.5,150.0,300.0,60.0,25.0,2,1125,2,1125,29,165,16,16
38200930,0,41.86563,-87.65558,6,2.0,125.0,100.0,60.0,0.0,2,90,2,1125,27,186,13,13
29704960,7,41.80861,-87.71043,16,1.5,200.0,200.0,80.0,10.0,2,1125,2,1125,30,365,29,15
38761097,529,41.92176,-87.71178,4,1.0,98.0,0.0,50.0,0.0,1,30,2,1125,30,90,24,24
9645880,1,41.92455,-87.71106999999998,6,1.0,125.0,600.0,70.0,25.0,3,1125,3,1125,30,271,71,6
35284235,2,41.94517000000001,-87.66304000000002,6,1.0,150.0,0.0,75.0,50.0,2,1125,2,1125,30,314,28,28
